input,inference
"Up, down and away: NASA #39;s #39;Weightless Wonder #39; makes final flight HOUSTON -- The NASA turbojet notoriously known as the quot;vomit comet quot; for its use in training astronauts for weightlessness made its final flight Friday.",".yadirF thgilf lanif sti edam sselthgiew rof stuanortsa gniniart ni esu sti rof ;touq temoc timov;touq eht sa nwonk ylsuoiroton tetolip ASAN ehT -- NOTSUOH thgilf lanif sekam ;93# rewoW sselthgiW;93# s;93# ASAN :yawa dna nwod,pU"
"Injured Toomer might be able to play tomorrow Although Giants wide receiver Amani Toomer took limited work yesterday after missing the previous two days of practice, coach Tom Coughlin won #39;t decide on his availability","ytilibaliava sih no ediced t;93# now nilhguoC moT hcaoc,ecitcarp fo syad owt suoiverp eht gnissim retfa yadretsey krow detimil koot remooT inamA reviecer ediw stnaiG hguohtlA worromot yalp ot elba eb thgim remooT derujnI"
"Titan Photos Pose New Questions Photographs and radar surveys from the Cassini spacecraft #39;s Tuesday-night flyby of Saturn #39;s mysterious moon Titan are raising more questions than they #39;re answering, say NASA scientists.",".stsitneics ASAN yas,gnitna er;93# yeht naht snoitseuq erom gnisiar era natiT noom suoiretsym s;93# nrutaS fo ybylf thgin-yadseuT s;93# tfarcecaps inissaC eht morf syevrus radar dna stohpargotohP snoitseuQ weN esoP sotohP natiT"
"Thailand to prosecute 300 Muslims detained in deadly riot BANGKOK : Thai Prime Minister Thaksin Shinawatra said the government would prosecute 300 Muslims detained at a riot this week that led to the deaths of 87 protesters, while another 900 would be released.",".desaeler eb dluow 009 rehtona elihw,sretsetorp 87 fo shtaed eht ot del taht keew siht toir a ta deniated smilsuM 003 etucesorp dluow tnemnrevog eht dias artaawahS niskahT retsiniM emirP iahT : KOKGNAB toir yldaed ni deniated smilsuM 003 etucesorp ot dnaliahT"
"Loeb forced out of rally ESTONIA #39;s Markko Martin took the Rally of Catalonia lead today after newly-crowned world champion Sebastien Loeb, the overnight leader, was forced out of the race with a severe oil leak.",".kcil lio ereves a htiw ecar eht fo tuo decrof saw,redael thginrevo eht,beoL neitsabeS noipmahc dlrow denworc-ylwen retfa yadot dael ainolataC fo yllaR eht koot nitraM okkraM s;93# ANOTSE yllar fo tuo decrof beoL"
"Report: Global warming now inevitable The Arctic Council, an international group of northern nations, says global warming will be both a blessing and a curse. The group #39;s report, four years in the making and set for a Nov.",".voN a rof tes dna gnikam eht ni sraey ruof,troper s;93# puorg ehT.esiur a dna gnireeb a htob eb lliw gnimraw labolg syas,snoitan nrehtron fo puorg lanoitanretni na,licnuoC citcrA ehT elbatinu won gnimraw labolG :tropeR"
Harrison keeps title for fifth time GLASGOW - Scotland #39;s Scott Harrison successfully defended his WBO featherweight title for a fifth time with a farcical first-round stoppage of Swedish-based Ethiopian Samuel Kebede on Saturday.,.yadrutaS no edeK lehciS naitirohtE desab-hsidewS fo egappots dnuor-tsrif lacicraf a htiw emit htfif a rof eltit thgiewdnuof OBO sih dednefed yllufsseccus nosraH ttocS s;93# dnaltocS - WOGLASG emit htfif rof eltit speek nosraH
"UN Kabul kidnappers reveal demands A militant group is threatening to kill three UN hostages kidnapped in Afghanistan, including a British woman, unless all Taliban prisoners are released.",".desaeler era srenosirp nabilaT lla sselnu,namow hsitirB a gnidulcni,natsinahgfA ni deppandik segatsoh NU eerht llik ot gninetaerht si puorg tnatilim A sdnamed laever sreppandik lubaK NU"
"New RIAA File-swapping Suits Target Students Fletcher writes quot;The Recording Industry Association of America filed another round of lawsuits against alleged file-swappers, including students on 13 university campuses.",".segatroftalp ytisrevinu 31 no stneduts gnidulcni,sreppans-elif degella tsniaga stiuswal fo dnuor rehtona delif aciremA fo noitaicossA yrtsudnI gnidroceR ehT;touq setirw rehctelF stnedutS tegraT stiuS gnippaws-eliF AAIR weN"
UPDATE 1-Tamada claims pole in Valencia Japan #39;s Makoto Tamada grabbed his third pole position of the season before Sunday #39;s Valencia MotoGP after clocking the fastest time in the second qualifying session on Saturday.,.yadrutaS no noisses gniyfilauq dnoces eht ni emit tsetsaf eht gnikcolk retfa PGotoM aicnelaV s;93# yadnuS erofeb nosaes eht fo noitisop elop driht sih debbarg adamaT otokaM s;93# napaJ aicnelaV ni elop smialc amatamaT-1 ETADPU
"First Black Watch troops move north to Sunni Triangle BAGHDAD, Iraq An advance party of British soldiers has arrived at its new base near Baghdad. The small group from the Scottish Black Watch regiment set up base camp south of the capital, according to a pool report made to British media.",".aidem hsitirB ot edam troper loop a ot gnidrocca,latipac eht fo htuos pmac esab pu tes tnemetarts hctaW kcalB hsittocS eht morf puorg llams ehT.dadhgaB raen esab wen sti ta devirra sah sreidlos hsitirB fo ytrap ecnavda nA qarI,DADHGAB elpirT innuS ot htron evom spoort hctaW kcalB"
"Forsyth Forges Clear He may be 120 places lower in the world, but it was advantage Alastair Forsyth in his Volvo Masters duel with Sergio Garcia today before a thunderstorm suspended play.",".yalp dednepsus yreviw a erofeb yadot aicraG oigreS htiw leud sretsaM ovloV sih ni htysroF ruatsalA egatnavda saw ti tub,dlrow eht ni rewol secalp 021 eb yam eH raelC segroF htysroF"
Four pay price for India defeats India have dropped wicket-keeper Parthiv Patel and batsman Yuvraj Singh for the final Test against Australia. Opening batsman Aakash Chopra and seamer Ajit Agarkar were also left out after India conceded the,eht dedecnoc aidnI retfa tuo tfel osla erew ragragA ijitA reecnaw dna aprahC hsakA namstab gninepO.ailartsuA tsniaga tseT lanif eht rof hgniS rajvuY namstab dna letaP vtahraP repeek-tekciw deppord evah aidnI staefed aidnI rof ecirp yap ruoF
"UPDATE 1-Beck to face Youzhny in St Petersburg final Unseeded Slovak Karol Beck reached the first final of his career at the St Petersburg Open, upsetting seventh-seeded Michael Llodra of France 6-4 2-6 6-1 on Saturday.",".yadrutaS no 1-6 6-2 4-6 ecnarF fo ardolL leahciM dedees-htneves gnittespu,nepO grubsreteP tS eht ta reerac sih fo lanif tsrif eht dehcaer kceB loraK kavolS dedeesnU lanif grubsreteP tS ni ynhzuoY ecaf ot kceB-1 ETADPU"
"Iraqi president on visit to Kuwait KUWAIT CITY - Iraqi President Ghazi al-Yawar arrived in Kuwait on Saturday for a two-day official visit, an AFP correspondent reported.",".detroper tnednopserroc PFA na,tisiv laiciffo yad-owt a rof yadrutaS no tiawuK ni devirra rawaY-la ihsaG tnediserP iqarI - YTIC TIAWUK tiawuK ot tisiv no tnediserp iqarI"
"Get the Facts on Microsoft Benchmarks Now that Steve Ballmer and company have given you all the facts you need to compare Windows and Linux, allow me to add just one little tidbit.",".tidit elttil eno tsuj dda ot em wolla,xuniL dna swodniW etarapmoc ot deen uoy stcaf eht lla uoy nevig evah ynapmoc dna remllaB evetS taht woN skramhcneB tfosorciM no stcaF eht teG"
"After the Lord Mayor #39;s show It is just six days since the #39;mulligatawny madness #39; at Old Trafford, but the shock waves are still reverberating around the Arsenal dressing room.",".moor gnidaer lanesrA eht dnuora gnitarebiler llits era sevaw kcohs eht tub,droffarT dlO ta ;93# ssendam ynwataluglum;93# eht ecnis syad xis tsuj si tI wohs s;93# royaM droL eht retfA"
"THE UNFOLDING UNIFORM Pakistan is inherently unstable. Dealing with them is like playing with matches in a forest. - Larry Pressler. That statement from Larry Pressler, made during his recent visit to India, coincided with","htiw decnuoc,aidnI ot tisiv tnecer sih gnirud edam,relsserP yrraL morf tnemetats tahT.relsserP yrraL -.tserof a ni sehctam htiw gniyalp ekil si meht htiw gnilaeD.elbatsni yllanoitirhtni si natsikaP MURRUNI GNIDLOFNU EHT"
"Better Talk Now upsets rough Breeders #39; Cup Turf GRAND PRAIRIE, Texas (Ticker) - After further review, Better Talk Now proved to be the best after all. Overcoming huge favorite Kitten #39;s Joy, Better Talk Now pulled off a surprising upset in Saturday #39;s $2 million Breeders #39; Cup Turf at Lone Star Park.",".kraP ratS enoL ta farT puC ;93# sredeerB noillim 2$ s;93# yadrutaS ni tespu gnisirprus a ffo dellup woN klaT retteB,yoJ s;93# nettiK etirovaf eguh gnimocrevO.lla retfa tseb eht eb ot devorp woN klaT retteB,weiver rehtruf retfA - )rekciT( saxeT,IERIARP DNAGR puC ;93# sredeerB hgu"
"FasTrak Toll Bridge Discounts End Monday About 70,000 motorists signed up for FasTrak, the electronic toll collection system, since July 1, when tolls went up from $2 to $3.",".3$ ot 2$ morf pu tnew sllot nehw,1 yluJ ecnis,metsys noitcelloc llot cinortcele eht,kaTsaF rof pu dengis srevirdolov 000,07 tuobA yadnoM dnE stnuocsiD egdirB lloT traTsaF"
UPDATE 1-Singh takes lead at Chrysler World number one Vijay Singh shot a four-under-par 67 on Saturday and took the lead of the Chrysler Championship after three rounds.,.sdnuor eerht retfa pihsnoipmahC relsyrhC eht fo dael eht koot dna yadrutaS no 76 rap-rednu-ruof a tohs hgniS yajiV eno rebmun dlroW relsyrhC ta dael sekat hgniS-1 ETADPU
"China Closes 1,600 Internet Cafes in Crackdown China shut 1,600 Internet cafes between February and August and imposed $12.1 million worth of fines for allowing children to play violent or adult-only games and other violations, state media said.",".dias aidem etats,snoitaloiv rehto dna semag ylno-tluda ro tneloiv yalp ot nerdlihc gniwolla rof seenif fo htrow noillim 1.21$ desopmi dna tsuguA dna yraurbeF neewteb sefac tenretnI 006,1 tuhs anihC nwodkcarC ni sefaC tenretnI 006,1 sesolC anihC"
New memories warm heart of this Bosox fan Is it really true? Did it really happen? Or was that just the figment of some Boston Red Sox fanatic #39;s wild imagination? Did the Red Sox really win the World Series for the first time since 1918 by sweeping the St.,.tS eht gnipeews yb 8191 ecnis emit tsrif eht rof seireS dlroW eht niw yllaer xoS deR eht did?noitazitavni dliw s;93# citanaf xoS deR notsoB emos fo tnemef eht tsuj taht saw rO?neppah yllaer ti did?eurt yllaer ti sI naf xosoB siht fo traeh mraw seiromem weN
Oil bounces higher amid fears of supply disruption Oil prices bounced higher on Friday following two days of sharp declines that came on the heels of rising inventories of crude in the US and a move by China to cool its economy.,.ymonoce sti looc ot anihC yb evom a dna SU eht ni edurc fo seirotnevni gnisir fo sleeh eht no emac taht senilced prahs fo syad owt gniwollof yadirF no rehgih decnuob secirp liO noitpursid ylppus fo sraef dima rehgih secnuob liO
"No. 1 USC 42, Washington State 12 Reggie Bush and LenDale White each scored two touchdowns, Dwayne Jarrett caught two more from scores from Matt Leinart and No. 1 Southern California routed Washington State 42-12 Saturday.",".yadrutaS 21-42 etatS notgnihsaW detuor ainrofilaC nrehtuoS 1.oN dna tranieL ttaM morf serocs morf erom owt thguac tterraJ enyawD,snwodhcuot owt derocs hcae etihW elaDneL dna hsuB eiggeR 21 etatS notgnihsaW,42 CSU 1.oN"
"Boeing trying to keep up Aircraftmaker seeks buyers for new &lt;b&gt;...&lt;/b&gt; Seattle -- The assembly line at Boeing Co. #39;s cavernous Everett plant near here is designed to keep moving continuously, if almost imperceptibly, as workers scramble over the silvery bodies of skeletal Boeing 777s, applying finishing touches.",".sehcuot gnihsinif gniylppa,s777 gnieoB ytcels fo seidob yrevlis eht revo elbmarcs srekrow sa,ylbaetpecrepmi tsomla fi,yltneuqesnopserp gnivom peek ot dengised si ereh raen tnalp tterevE nevrevac s;93#.oC gnieoB ta enil ylbmessa ehT -- elttaeS ;tg&b/;tl&...;tg"
Black Watch Death Family Speak of #39;Devastation #39; Relatives of the Black Watch soldier killed during the controversial military deployment from Basra have spoken of their devastation at his death.,.htaed sih ta noitatsaved rieht fo nekops evah arsaB morf tnemyolped yratilim laisrevortnoc eht gnirud dellik reidlos hctaW kcalB eht fo sevitaleR ;93# noitatsaveD;93# fo kaepS ylimaF htaeD hctaW kcalB
"Japan confirms captive in Iraq beheaded Japan has confirmed that the headless body found in Baghdad on Saturday is of the Japanese being held captive in Iraq. An armed group in Iraq had on Tuesday threatened to behead Shosei Koda, 24, within 48-hours unless Japan pulled its troops out of Iraq.",".qarI fo tuo spoort sti dellup napaJ sselnu sruoh-84 nihtiw,42,adoK iehsehS daeheb ot denetaerht yadseuT no dah qarI ni puorg demra nA.qarI ni evitpac dleh gnieb esenapaJ eht fo si yadrutaS no dadhgaB ni dnuof ydob sseldaeh eht taht demrifnoc sah napaJ dedaeheb qarI ni evitpac sm"
Singletary shuffles into winner #39;s circle It is the best story of the Breeders #39; Cup World Thoroughbred Championships at Lone Star Park. A partnership puts together an ownership group to buy and race thoroughbreds.,.sderbhguorht ecar dna yub ot puorg pihsrenwo na rehtegot stup pihsrentrap A.kraP ratS enoL ta spihsnoipmahC derbhguorhT dlroW puC ;93# sredeerB eht fo yrots tseb eht si tI elcric s;93# renniw otni selffuhs yratenoL
"Cast-aside candidates grab onto Sox coattails By Raphael Lewis and Benjamin Gedan, Globe Staff and Globe Correspondent October 31, 2004. Republican state Senate candidate Rod Jane of Westborough woke up yesterday with a plan to grab some attention from","morf noitnetta emos barg ot nalp a htiw yadretsey pu ekaw ertsewtseW fo aeJ doR etadidnac etaneS etats nacilbupeR.4002,31 rebotcO tnednopserroC elgnorG dna ffatS elgnorG,nadeG nabesaB dna siweL leahpaR yB sliahsac xoS otno barg setadidnac edisa-tsaC"
"Ashado pulls away to win Distaff Ashado had a little trouble finding running room in the stretch of the Breeders #39; Cup Distaff on Saturday. But once she did, she quickly kicked away from the opposition","noitisoppo eht morf yawa dekcik ylkciuq ehs,did ehs ecno tuB.yadrutaS no ffatsiD puC ;93# sredeerB eht fo hcterts eht ni moor gninnur gnidnif elbuort elttil a dah odahsA ffatsiD niw ot yawa sllup odahsA"
It #39;s About Time Sox Became The Champs And Real Rivals Finally. the New York Yankees and the Boston Red Sox have a bona fide rivalry. Please don #39;t assume that this belongs on the sports pages.,.segap strops eht no srehtegot siht taht emussa t;93# nod esaelP.yrlavir edif anob a evah xoS deR notsoB eht dna seeknaY kroY weN eht.yllaniF slaviR laeR dnA spmahC ehT emaceB xoS emiT tuobA s;93# tI
Nasa to resume shuttle missions The American space agency Nasa says the first space shuttle mission since the Columbia disaster of 2003 is to be launched next May or early June.,.enuJ ylrae ro yaM txen dehcnual eb ot si 3002 fo retsasid aibmuloC eht ecnis noissim elttuhs ecaps tsrif eht syas asaN ycnega ecaps naciremA ehT snoissim elttuhs emuser ot asaN
"Putin ready to probe other oil companies Russian President Vladimir Putin is ready to go after other oil companies the way he has hammered Yukos, a top Kremlin official has said.",".dias sah laiciffo nilmerK pot a,sokuY deremmah sah eh yaw eht seinapmoc lio rehto retfa og ot ydaer si nituP rimidalV tnediserP naissuR seinapmoc lio rehto eborp ot ydaer nituP"
"PSP: Region Free There have been essentially four questions sent into the PSP Mailbag -- four questions, and a heck of a lot of hate mail. Those questions are: When is PSP shipping, what will PSP cost, how long will PSP #39;s","s;93# PSP lliw gnol woh,tsoc PSP lliw tahw,gnippihs PSP si nehW :era snoitseuq esohT.liam etah fo tol a fo kcuh a dna,snoitseuq ruof -- bacliaM PSP eht otni tnes snoitseuq ruof yllaitnesse neeb evah erehT eerF noigeR :PSP"
Malaysia #39;s Anwar Returns to Hero #39;s Welcome Malaysia #39;s former deputy prime minister Anwar Ibrahim has come home to a rock star #39;s welcome Sunday. He returned from undergoing back surgery in Germany following his release from prison last month.,.htnom tsal nosirp morf esaeler sih gniwollof ynamreG ni yregrus kcab gniogrednu morf denruter eH.yadnuS emoclew s;93# rats kcor a ot emoh emoc sah miharbI rawnA retsinim emirp ytuped remrof s;93# aisyalaM emocleW s;93# eorH ot snruteR rawnA s;93# aisyalaM
"Tar Heels beat Miami For the second time this month, UNC football fans had something to celebrate. In a stunning upset, the Tar Heels beat Miami 31 to 28.",".82 ot 13 imaiM taeb sleeH raT eht,tespu gninnuts a nI.etarbelec ot gnihtemos dah snaf llabtoof CNU,htnom siht emit dnoces eht roF imaiM taeb sleeH raT"
"Dawgs get Gators off their back Not with players dragging off the field, their bodies drained by yet another anticlimactic loss. Not with their fired leader standing before reporters, struggling to hold back the tears once more.",".erom ecno serraht eht kcab dloh ot gnilggurts,sretroper erofeb gnidnats redael derif rieht htiw toN.ssol citmacilcitna rehtona tey yb deniard seidob rieht,dleif eht ffo gniyd sreyalp htiw toN kcab rieht ffo srotaG teg sgwaD"
The Great Vegetarian Scam Ive written before about my struggle to remain a vegetarian on Tuesday - when I abjure meat for religious reasons -hile travelling.,.gnilavird elih- snosaer suoigiler rof taem eirujba I nehw - yadseuT no nairative a niamer ot elggurts ym tuoba erofeb nettirw evI macS nairatieV taerG ehT
Iranian bill backs nuclear drive has passed a bill obliging the government to continue efforts to develop a nuclear energy programme. Uranium enrichment can be used both for nuclear power and to make atomic bombs.,.sbmob cimota ekam ot dna rewop raelcun rof htob desu eb nac tnemhcirne muinarU.emmargorp ygrene raelcun a poleved ot stroffe eunitnoc ot tnemnrevog eht gnigilbo llib a dessap sah evird raelcun skcab llib nainarI
Kidnappers may extend deadline Militants holding three UN workers hostage in Afghanistan have offered to consider extending a three-day deadline for their beheading.,.gnidaeheb rieht rof enildaed yad-eerht a gnidnetxe redisnoc ot dereffo evah natsinahgfA ni egatsoh srekrow NU eerht gnidloh stnatiliM enildaed dnetxe yam sreppandiK
Jordan #39;s Zarqawi Financier Jailed Six Months Jordan #39;s state security court jailed an Islamist militant for six months on Sunday for financing al Qaeda ally Abu Musab al-Zarqawi #39;s bombings in Iraq but found no evidence to charge him with plotting any attacks.,.skcatta yna gnittolp htiw mih egrahc ot ecnedive on dnuof tub qarI ni sgnibmob s;93# iwaqraZ-la basuM ubA ylla adeaQ la gnicnanif rof yadnuS no shtnom xis rof tnatilim tsimalsI na deliaj truoc ytiruces etats s;93# nadroJ shtnoM xiS deliaJ reicnaniF iwaqraZ s;93# n
"Martin wins second straight race Markko Martin won his second consecutive World Rally Championship race on Sunday to clinch the Rally of Catalunya. The Estonian, driving a Ford, followed up his recent victory in","ni yrotciv tnecer sih pu dewollof,droF a gnivird,naissE ehT.aynuallaC fo yllaR eht hcnilc ot yadnuS no ecar pihsnoipmahC yllaR dlroW evitucesnoc dnoces sih now nitraM okkraM ecar thgiarts dnoces sniw nitraM"
"Anwar Begins Malaysia Political Comeback Malaysia #39;s most charismatic dissident Anwar Ibrahim, released from jail two months ago, kicked off his political comeback Sunday, vowing to restart a campaign for democratic reforms and racial equality.",".ytirale cicar dna smrofer citarcomed rof ngiapmac a tratser ot gniwov,yadnuS kcabemoc lacitilop sih ffo dekcik,oga shtnom owt liaj morf desaeler,miharbI rawnA tnedissid citsacarhc tsom s;93# aisyalaM kcabemoC lacitiloP aisyalaM snigeB rawnA"
"Novak Captures First Indoor Title BASEL, Switzerland Oct 31, 2004 - Jiri Novak of the Czech Republic won the Swiss Indoors for his first indoor title, defeating David Nalbandian in five sets Sunday in a final in which the Argentine smashed two rackets.",".stekrahs owt dehsams enitnegrA eht hcihw ni lanif a ni yadnuS stes evif ni naidnablaN divaD gnitaefed,eltit roodni tsrif sih rof sroodnI ssiwC eht now cilbupeR hcezC eht fo kavoN iriJ - 4002,31 tcO dnalreztiwS,LEAB eltiT roodnI tsriF serutpaC kavoN"
"China Shuts Down 1600 Internet Cafes Between February and August of this year, China has shut down 1,600 internet cafes, and handed out 100 million yuan fines (US$12 million) to cafe operators, for allowing children access to violent or adult-only content and games.",".semag dna tnetnoc ylno-tluda ro tneloiv ot ssecca nerdlihc gniwolla rof,srotarepo af ot )noillim 21$SU( senif nauy noillim 001 tuo dednah dna,saf tenretni 006,1 nwod tuhs sah anihC,raey siht fo tsuguA dna yraurbeF neewteB saC tenretnI 0061 nwoD stuhS anihC"
"Key Australia-US FTA deadline passes A key deadline to bring Australia #39;s Free Trade Agreement with the United States into force has expired. But the Australian Government is still confident the deal will come into effect next year, as Louise Willis reports.",".stroper silliW esuoL sa,raey txen tceffe otni emoc lliw laed eht tnedifnoc llits si tnemnrevoG nailartsuA eht tuB.deripxe sah ecrof otni setatS detinU eht htiw tnemeergA edarT eerF s;93# ailartsuA gnirb ot enildaed yek A sessap enildaed ATF SU-ailartsuA yeK"
UPDATE 1-Bolton end Newcastle run with 2-1 win Bolton Wanderers continued their impressive start to the season as they battled to beat in-form Newcastle United 2-1 on Sunday to stay in touch with the leading pack at the top of the Premier League.,.eugaeL reimerP eht fo pot eht ta kcap gnidael eht htiw hcuot ni yats ot yadnuS no 1-2 detinU eltsacweN mrof-ni taeb ot delttab yeht sa nosaes eht ot trats evisserpmi rieht deunitnoc sregdiW notloB niw 1-2 htiw nur eltsacweN dne notloB-1 ETADPU
"Saturday Essay When in his mid-50s, immigrant Andrew Carnegie sold his steel holdings into a trust headed by JP Morgan in 1901, the Scottish immigrant and former cotton factory bobbin boy left a life of astounding, ground-up capitalism for retirement into philanthropy.",".yporhtnalip otni tnemeriter rof msilacitelpmi pu-dnuorg,gninnutsa fo efil a tfel yob nibbob yrotcaf elbbat remrof dna tnargimi hsittocS eht,0991 ni nagroM PJ yb dedaeh tsurt a otni sgnidloh leets sih dlos yhcnarF werdnA tnargimi,s05-dim sih ni nehW tirpI yadrut"
"Kyocera Battery Recall Kyocera Battery Recall By guest contributor Josh Pereira. Kyocera, a leading manufacturer of CDMA phones, has announced a voluntary and precautionary recall of the batteries found in their KE/KX 400 Series, 3200 Series, and Slider Series phones.",".senohp seireS redilS dna,seireS 003,seireS 004 XK/KE rieht ni dnuof seirettab eht fo llacer yranoituac dna ytilanoisnep a decnuonna sah,senohp AMDC fo rerutcafunam gnidael a,areceroY.arereP hsoJ rotubirtnoc tseug yB llaceR yrettab aroyK llaceR yrettab aroyK"
"Redskins Loss - Bad News for Bush, Great for Kerry The Washington Redskins lost their final home football game before the US presidential election on Sunday -- and that #39;s great news for Democratic Sen. John Kerry and bad news for President Bush.",".hsuB tnediserP rof swen dab dna yrreK nhoJ.neS citarcomeD rof swen taerg s;93# taht dna -- yadnuS no noitcele laitnediserp SU eht erofeb emag llabtoof emoh lanif rieht tsol sniksdeR notgnihsaW ehT yrreK rof taerG,hsuB rof sweN daB - ssoL sniksdeR"
Automakers work on fuel cell vehicles General Motors (GM) and Chinese partner Shanghai Automotive Industry Corp (SAIC) on Saturday signed a joint development and commercialization agreement on hybrid and fuel cell,llec leuf dna rohtih no tnemeerga noitazilaicremmoc dna tnempoleved tnioj a dengis yadrutaS no )CIAS( proC yrtsudnI evitomotuA iahgnahS rentrap esenihC dna )MG( srotoM lareneG selcihev llec leuf no krow srekamotuA
Allardyce is infuriated by Souness #39; criticism BOLTON manager Sam Allardyce rounded on his Newcastle counterpart Graeme Souness last night for criticising their style of play. Allardyce saw his unsung side reclaim fourth spot in the table after a 2-1 victory at the Reebok Stadium.,.muidatS kobeeR eht ta yrotciv 1-2 a retfa elbat eht ni tops htruof mialcer edis gnusnu sih was ecydrallA.yalp fo elyts rieht gnisicitirc rof thgin tsal ssenuoS emearG trapretnuoc eltsacweN sih no dednuor ecydrallA maS reganam NOTLOB msicitirc ;93# ssenuoS yb detaurfni si ecydrallA
"Ninety million Bagle worms kill the Windows XP2 firewall Earlier this year Microsoft released a major security update for Windows XP, which was designed to strengthen the operating systems defences against attack from viruses and hackers.",".srekcah dna sesuriv morf kcatta tsniaga snoitnefed smetsys gnitarepo eht nehtgnerts ot dengised saw hcihw,PX swodniW rof etadpu ytiruces rojam a desaeler tfosorciM raey siht reilraE retaew 2/PX swodniW eht llik smrow elgaB noillim ytneceN"
"15 killed in Iraq hotel explosion BAGHDAD: Fifteen people were killed and eight others injured in an explosion that hit a hotel last night in the northern Iraqi city of Tikrit, police and hospital officials said.",".dias slaiciffo latipsoh dna ecilop,tirkriT fo ytic iqarI nrehtron eht ni thgin tsal letoh a tih taht noisolpxe na ni derujni srehto thgie dna dellik erew elpoep neetfiF :DADHGAB noisolpxe letoh qarI ni dellik 51"
ROSSI CELEBRATES IN STYLE Valentino Rossi hailed an quot;unbelievable quot; season after celebrating his fourth world championship with victory in Valencia.,.aicnelaV ni yrotciv htiw pihsnoipmahc dlrow htruof sih gnitarbelec retfa nosaes ;touq elbaercnu;touq na deliah issoR onitnelaV ELTYS NI SETABRALEC ISOR
"China Lays Into #39;Bush Doctrine #39; Ahead of US Poll On the eve of the US election, China laid into what it called the quot;Bush doctrine, quot; said the Iraq war has destroyed the global anti-terror coalition and blamed arrogance for the problems dogging the United States worldwide.",".ediwdlrow setatS detinU eht gniggod smelborp eht rof ecnaigro demalb dna noitilaoc rorret-itna labolg eht deyortsed sah raw qarI eht dias ;touq,ecnedorp hsuB;touq eht dellac ti tahw otni dial anihC,noitcele SU eht fo eve eht nO lloP SU fo daehA ;93# enirtoD hsuB;93# otnI"
"Med school move delayed to 2007 The MSU College of Human Medicine won #39;t be relocated to Grand Rapids until at least 2007, and could cost only half as much as university officials originally estimated.",".detamitse yllanigiro slaiciffo ytisrevinu sa hcum sa flah ylno tsoc dluoc dna,7002 tsael ta litnu smaerD dnarG ot decalper eb t;93# now enicideM namuH fo egelloC USM ehT 7002 ot deyaled evom loohcs xeM"
"Singapore #39;s unemployment rate eases to 3.4 as economy expands SINGAPORE : Singapore #39;s unemployment rate has fallen to its lowest level in five years on the back of strong economic growth in the first half of the year, the government said Monday.",".yadnoM dias tnemnrevog eht,raey eht fo flah tsrif eht ni htworg cimonoce gnorts fo kcab eht no sraey evif ni level tsewol sti ot nellaf sah etar tnemyolpmenu s;93# eropagniS : EROPAGNIS sdnapxe ymonoce sa 3.4 ot sesae etar tnemyolpmenu s;93# eropagniS"
Business Technology: Microsoft And Its Blind Spot: Linux Steve Ballmer #39;s letter to customers said nothing about the widespread reality of tens of thousands of Microsoft customers who are eager to deploy BOTH Windows and Linux.,.xuniL dna swodniW HTHOB yolped ot yrae era ohw sremotsuc tfosorciM fo sdnasuoht fo snet fo ytilaer daerpsediw eht tuoba gnihton dias sremotsuc ot rettel s;93# remllaB evetS xuniL :tohS tniaB stI dnA tfosorciM :ygolonhceT ssenisuB
"Some think this metal is golden So many disasters to avoid, so many uncertainties to resolve, no wonder so many investors have been cautious about buying stocks and bonds.",".sdnob dna skcots gniyub tuoba suoituac neeb evah srotsevni ynam os rednow on,evloser ot snoitatcepsni ynam os,diova ot sretsasid ynam oS nedlog si leet siht kniht emoS"
"Venus and Jupiter witnessed in dawn rendezvous WITH no planets on view, and with large areas of the southern sky devoid of bright stars, the evening sky at our star map times may not be the most exciting of the year.",".raey eht fo gniticxe tsom eht eb ton yam semit pam rats ruo ta yks gnineve eht,srats thgirb fo etiuqed yks nrehtuos eht fo saera egral htiw dna,weiv no stenalp on HTIW evressac nwad ni detseuqs noduJ dna suneV"
Profile: Leftist Vazquez wins Uruguay presidential poll Uruguay #39;s leftist candidate Tabare Vazquez won a historic victory in Sunday #39;s presidential elections with more than 50 percent of the ballot.,.tollab eht fo tnecrep 05 naht erom htiw snoitcele laitnediserp s;93# yadnuS ni yrotciv cirotsih a now zeuqzaV erabaT etadidnac tsitfel s;93# ainauhU llop laitnediserp ainuU sniw zeuqzaV tsitfeL :eliforP
Liverpool target Morientes after Cisse break Djibril Cisse #39;s horrific injury will spur Liverpool manager Rafael Benitez into a renewed bid to prise striker Fernando Morientes from Real Madrid when the transfer window opens in January.,.yraunaJ ni snepo wodniw refsnart eht nehw dirdaM laeR morf senigneM odnanreF rekirts esiop ot dib dewener a otni zetineB elcaraR reganam loopreviL rups lliw yrujni suorehsorht s;93# essiC libirjD kaerb essiC retfa setnadnaM tegrat loopreviL
"China shuts 1,600 cybercafes The Chinese government confirmed this weekend that it has closed 1,600 internet cafes and fined operators a total of 100m yuan since March, when it began its crackdown on violent or pornographic content, and other material it considers harmful to public","cilbup ot elbarovad sredisnoc ti lairetam rehto dna,tnetnoc cihpargonrop ro tneloiv no nwodkcarc sti nageb ti nehw,hcraM ecnis nauy m001 fo latot a srotarepo denif dna saf tenretni 006,1 desolc sah ti taht dnekeew siht demrifnoc tnemnrevog esenihC ehT sefacrebyc 006,1 stuhs anihC"
